id;code;description;strengths;weaknesses;career_paths;recommended_majors;created_at;description_en;strengths_en;weaknesses_en;career_paths_en;recommended_majors_en
c51c2197-a0ec-474b-a8ab-a6a7eecaefa8;AIS;شخصية عميقة تهتم بالثقافة، الفنون، والناس. تستخدم إبداعك وبحثك لفهم النفس البشرية والمجتمع. تميل للمجالات التي تتطلب فكراً حراً وتفاعلاً إنسانياً غير تقليدي.;"[""التفكير النقدي والإبداعي: القدرة على تحليل المعلومات وإنتاج أفكار جديدة ومبتكرة"",""الفهم الثقافي العميق: القدرة على فهم واستيعاب الثقافات المختلفة وتقدير تنوعها"",""التعبير اللغوي القوي: القدرة على الكتابة والتعبير بأسلوب واضح ومؤثر"",""التعاطف الفكري: القدرة على فهم قضايا الناس ومشاكلهم والتفاعل معها بعمق""]";"[""قد تميل للمثالية غير الواقعية مما قد يؤخر إنجاز المشاريع"",""قد تواجه صعوبة في التعامل مع النقد السلبي لأعمالك الإبداعية"",""قد تحتاج لتطوير مهارات الحزم في اتخاذ القرارات"",""قد تميل للتفكير الزائد مما يبطئ التنفيذ العملي""]";"[""كاتب وروائي"",""أستاذ في العلوم الإنسانية"",""مترجم أدبي"",""ناقد فني"",""باحث في الأنثروبولوجيا""]";"[""الأدب واللغويات"",""الفلسفة"",""علم الاجتماع"",""علم النفس"",""الفنون الجميلة""]";2025-12-09 22:33:00.882734+00;;[];[];[];[]
c7ecfd28-454d-4212-a180-ca1b1f27147e;ASE;هذه الشخصية تمتلك مزيجًا من الإبداع الفني، والقدرة على التواصل والتفاعل الاجتماعي، والرغبة في تحقيق النجاح والقيادة. يشير هذا المزيج إلى شخص مبدع ورائد أعمال وفي نفس الوقت واعي اجتماعيًا. لديك القدرة على التأثير والتواصل بطريقة إبداعية والازدهار في السياقات الاجتماعية.;"[""الإبداع والابتكار: القدرة على التفكير خارج الصندوق وإيجاد حلول فنية للمشاكل"",""التواصل الاجتماعي: القدرة على بناء علاقات قوية وفعالة مع مختلف الأشخاص والمجموعات"",""القيادة والريادة: القدرة على تحفيز الفرق وتوجيههم نحو تحقيق الأهداف المشتركة"",""التأثير الإيجابي: القدرة على التأثير في الآخرين بطرق إبداعية ومقنعة""]";"[""قد تواجه صعوبة في إيجاد التوازن بين التعبير الفني وتحقيق الأهداف الريادية"",""قد تحتاج إلى تطوير مهارات القيادة وتحمل المسؤولية للتأثير بشكل إيجابي"",""قد تواجه تحديات في إدارة الوقت بين الأنشطة الفنية والاجتماعية والريادية"",""قد تميل للتشتت بين المشاريع المتعددة مما يؤثر على جودة الإنجاز""]";"[""مدير اعلانات"",""محرر محتوى"",""مخرج مبدع"",""إدارة التواصل الاجتماعي"",""مسؤول علاقات عامة""]";"[""التسويق والإعلان"",""الإنتاج الإعلامي"",""العلاقات العامة والاتصالات"",""كتابة إبداعية"",""إخراج مسرحي تلفزيوني إذاعي"",""التمثيل""]";2025-12-04 13:31:29.37474+00;;[];[];[];[]
d2413a79-a47c-4411-bc8c-2bc8b5f94e7a;ASI;هذه الشخصية تشير إلى شخص يجمع بين الإبداع الفني، المهارات الاجتماعية القوية، والفضول الاستقصائي. لديك القدرة على التعبير عن الأفكار بشكل خلاق، التفاعل بفعالية مع الآخرين، وتحليل المعلومات بعمق.;"[""الإبداع والابتكار: القدرة على التفكير بطرق جديدة ومبتكرة وتقديم أفكار فنية خلاقة"",""التواصل الاجتماعي: مهارات تواصل فعّالة تساعدك على بناء علاقات قوية والتفاعل مع الآخرين"",""التحليل الاستقصائي: القدرة على تحليل المعلومات بعمق وفهم الأمور المعقدة"",""الفضول المعرفي: الرغبة في التعلم واستكشاف مجالات جديدة باستمرار""]";"[""قد تحتاج إلى تحسين مهاراتك في التعامل مع التفاصيل التقنية أو التحليلية"",""قد تجد صعوبة في إدارة التوتر والضغط خاصة في البيئات غير المنظمة"",""قد تحتاج إلى العمل على تحقيق توازن أفضل بين حياتك المهنية والشخصية"",""قد تميل للتعمق في التفاصيل النظرية على حساب التطبيق العملي""]";"[""معلم فنون"",""مستشار نفسي"",""كاتب / الترجمة التحريرية الكتابية"",""باحث اجتماعي"",""مصمم جرافيك""]";"[""فنون جميلة"",""علم النفس"",""التصميم والإعلان"",""علم الإجتماع"",""التربية الفنية""]";2025-12-04 13:31:29.37474+00;;[];[];[];[]
d1fb211e-c620-46a9-a800-a557f16665d2;ARS;هذه الشخصية تشير إلى شخص يجمع بين الإبداع الفني، القدرة على العمل العملي، والمهارات الاجتماعية القوية. لديك القدرة على التعبير عن الأفكار بشكل خلاق، حل المشاكل بشكل عملي، والتفاعل بفعالية مع الآخرين.;"[""الإبداع والابتكار: القدرة على التفكير بطرق جديدة ومبتكرة وتقديم أفكار فنية خلاقة"",""العمل العملي: القدرة على تطبيق الحلول العملية وحل المشاكل الواقعية"",""التواصل الاجتماعي: مهارات تواصل فعّالة تساعدك على بناء علاقات قوية والتفاعل مع الآخرين"",""المرونة في الأداء: القدرة على التكيف مع متطلبات العمل المختلفة""]";"[""قد تميل للمثالية المفرطة في العمل الفني مما يؤخر الإنجاز"",""قد تواجه صعوبة في تقبل التعديلات على رؤيتك الإبداعية"",""قد تجد صعوبة في العمل ضمن قيود الميزانية والوقت"",""قد تحتاج لتطوير مهارات التفاوض مع العملاء والشركاء""]";"[""مصمم ديكور داخلي"",""فنان تشكيلي"",""إدارة المشاريع"",""مستشار توظيف"",""تصوير تلفزيوني ومسرحي وسينمائي""]";"[""فنون جميلة"",""التصميم الداخلي"",""التربية الفنية"",""العمل الإجتماعي"",""إدارة المشاريع""]";2025-12-04 13:31:29.37474+00;;[];[];[];[]
e9dd606c-209a-4d9f-85fd-f32a34ab2763;ARE;مبدع يحب العمل بيده ولديه حس تجاري. تختلف عن الفنان الحالم بأنك تركز على إنتاج أعمال فنية قابلة للبيع والاستخدام، مثل الديكور والأزياء.;"[""الابتكار التطبيقي: القدرة على تحويل الأفكار الإبداعية إلى منتجات ملموسة وقابلة للتسويق"",""الذوق الفني التجاري: القدرة على الجمع بين الجمال الفني والجدوى التجارية في المشاريع"",""الاستقلالية والمبادرة: القدرة على العمل بشكل مستقل واتخاذ المبادرات دون انتظار التوجيه"",""تحويل الأفكار لمنتجات: القدرة على تجسيد الأفكار النظرية إلى واقع عملي ملموس وقابل للاستخدام""]";"[""قد تميل للتشتت بين مساعدة الآخرين والعمل الفني"",""قد تواجه صعوبة في تحديد الأولويات بين المشاريع المتعددة"",""قد تجد صعوبة في رفض المشاريع التي لا تناسب قدراتك"",""قد تحتاج لتطوير مهارات التركيز على أهداف محددة""]";"[""مهندس تنسيق مواقع"",""شيف مبتكر"",""مصمم ديكور داخلي"",""مصمم منتجات تجارية"",""مصمم أزياء""]";"[""عمارة البيئة"",""فنون الطهي"",""التصميم الداخلي"",""الفنون التطبيقية"",""تصميم الأزياء""]";2025-12-09 22:48:50.459082+00;;[];[];[];[]
3e466067-c678-43be-907f-01f716a53c26;CAI;تستخدم النظام والإبداع لإنتاج محتوى دقيق وجميل. أنت مبدع لكنك لست فوضوياً؛ تحب تصميم واجهات المواقع، أو إخراج الكتب، أو الرسوم البيانية.;"[""التصميم الجرافيكي: القدرة على تصميم وتنسيق المعلومات بشكل بصري جذاب ومنظم"",""تنسيق النصوص والكتب: القدرة على إخراج المحتوى المكتوب بشكل احترافي ومتناسق"",""الانتباه للتفاصيل الجمالية: القدرة على ملاحظة وتحسين التفاصيل الدقيقة في التصميم"",""إتقان برامج التصميم: القدرة على استخدام برامج التصميم والنشر المكتبي بكفاءة عالية""]";"[""قد تميل للحذر المفرط مما قد يضيع فرصاً مهمة"",""قد تواجه صعوبة في اتخاذ قرارات سريعة في المواقف الطارئة"",""قد تجد صعوبة في التعامل مع البيئات سريعة التغير"",""قد تحتاج لتطوير مهارات المبادرة وتحمل المخاطر المحسوبة""]";"[""كاتب تقني"",""مصمم واجهات مستخدم"",""مخرج صحفي"",""مطور ويب"",""أخصائي نشر إلكتروني""]";"[""تقنية المعلومات"",""التصميم الجرافيكي"",""الوسائط الرقمية"",""اللغة والاتصال"",""علوم الحاسب""]";2025-12-09 22:48:50.459082+00;;[];[];[];[]
933e3101-59ff-4eb5-947d-911d1333c918;ARI;هذه الشخصية تشير إلى شخص يمتلك مزيجًا فريدًا من الإبداع الفني، والتفكير العملي، والفضول الاستقصائي. تمتلك القدرة على التعبير عن الأفكار بشكل خلاق، وفهم الواقع بشكل عملي، والتحليل العميق للمعلومات.;"[""الإبداع والابتكار: القدرة على التفكير بطرق جديدة ومبتكرة وإيجاد حلول فنية للمشاكل"",""التفكير العملي: القدرة على فهم الواقع بشكل عملي وتطبيق الأفكار بطريقة ملموسة"",""الاستقصاء والتحليل: القدرة على استكشاف المعلومات بعمق وفحصها بطريقة منهجية"",""الدقة في التنفيذ: القدرة على تحويل الأفكار الإبداعية إلى منتجات عملية عالية الجودة""]";"[""قد تواجه تحديات في إيجاد التوازن بين الفكر الإبداعي والواقعية العملية"",""قد تحتاج إلى تطوير مهارات إدارة الوقت للتأكد من إتمام المشاريع في الوقت المناسب"",""قد تحتاج إلى تطوير استراتيجيات للتعامل مع ضغوط العمل والتحديات اليومية"",""قد تميل للعمل بمفردك مما قد يحد من فرص التعاون مع الآخرين""]";"[""مهندس معماري"",""محلل بيانات"",""مصمم داخلي"",""مهندس برمجيات"",""إدارة المشاريع""]";"[""الهندسة المعمارية"",""علوم البيانات"",""إدارة المشاريع"",""علوم الحاسوب"",""هندسة برمجيات""]";2025-12-04 13:31:29.37474+00;;[];[];[];[]
bbd85d5a-f50d-421a-8f6d-bd5d389538d5;AER;هذه الشخصية تشير إلى شخص يجمع بين الإبداع الفني، القدرة على القيادة وتحقيق الأهداف، والعمل العملي والملموس. لديك القدرة على التعبير عن الأفكار بشكل خلاق، وتحويل هذه الأفكار إلى مشاريع قابلة للتنفيذ، وتنفيذها بطريقة عملية.;"[""الإبداع والابتكار: القدرة على التفكير بطرق جديدة ومبتكرة وتقديم أفكار فنية خلاقة"",""القيادة والريادة: القدرة على تحفيز الآخرين وتوجيههم نحو تحقيق الأهداف المشتركة"",""الجانب العملي: القدرة على تطبيق الأفكار والمشاريع بشكل عملي وملموس"",""المرونة في التنفيذ: القدرة على تكييف الخطط حسب متطلبات الواقع""]";"[""قد تميل للتقلب في الأفكار والمشاريع بشكل متكرر"",""قد تواجه صعوبة في التركيز على مشروع واحد لفترة طويلة"",""قد تجد صعوبة في التعامل مع الجوانب الإدارية للمشاريع"",""قد تحتاج لتطوير مهارات التنظيم وترتيب الأولويات""]";"[""رائد أعمال"",""رئيس الطهاة"",""مدير تسويق"",""مصمم ألعاب فيديو"",""مستشار استراتيجي""]";"[""إدارة الأعمال"",""هندسة البرمجيات"",""إدارة المشاريع"",""علوم الحاسوب"",""التسويق وإدارة العلامات التجارية""]";2025-12-04 13:31:29.37474+00;;[];[];[];[]
b5a16763-de9d-4582-8664-b11ab019f0b2;CEI;شخصية قيادية ولكن بأسلوب منهجي ومدروس. تدير الأعمال بناءً على البيانات والحقائق والأنظمة. تجمع بين القدرة على التنظيم الدقيق وبين الطموح لتحقيق أهداف المؤسسة.;"[""التخطيط المنهجي: القدرة على وضع خطط واضحة وتوزيع المهام بشكل فعال ومنظم"",""التحليل المالي والإداري: القدرة على تحليل البيانات المالية واتخاذ قرارات إدارية سليمة"",""الكفاءة التشغيلية: القدرة على إدارة العمليات اليومية بأعلى مستوى من الكفاءة"",""الموثوقية والالتزام: القدرة على الوفاء بالمواعيد والالتزامات بشكل دائم ومستمر""]";"[""قد تميل للصرامة وقلة المرونة مما يصعب التكيف مع المتغيرات"",""قد تواجه صعوبة في التعامل مع المواقف الغامضة وغير المحددة"",""قد تحتاج لتطوير مهارات التفكير الإبداعي والابتكار"",""قد تميل للتمسك بالقواعد على حساب الكفاءة أحياناً""]";"[""محلل أعمال"",""مدير مالي"",""مدير جودة"",""مراقب حسابات ومدقق"",""مدير سلسلة الإمداد""]";"[""المحاسبة"",""المالية"",""إدارة الأعمال"",""علوم البيانات"",""الإدارة العامة""]";2025-12-09 22:33:00.882734+00;;[];[];[];[]
1a6ca007-a284-4f75-9c4c-7027c60cb2f3;CES;تحب العمل في بيئة منظمة ولديها هيكل واضح، وتستخدم مهاراتك القيادية لخدمة الناس وتنظيم شؤونهم. تبرز في الأدوار التي تتطلب إدارة وتواصلاً مع الآخرين ضمن لوائح وقوانين.;"[""إدارة الموارد البشرية: القدرة على تنظيم وإدارة الفرق والفعاليات بشكل احترافي"",""التواصل الدبلوماسي: القدرة على التعامل الرسمي والدبلوماسي مع مختلف الأطراف"",""الولاء المؤسسي: القدرة على الالتزام بقيم المؤسسة وتطبيق أنظمتها بإخلاص"",""التنفيذ الدقيق: القدرة على تنفيذ التعليمات والمهام بدقة متناهية وبدون أخطاء""]";"[""قد تشعر بالتوتر في البيئات الفوضوية وغير المنظمة"",""قد تواجه صعوبة في التكيف مع التغييرات المفاجئة في بيئة العمل"",""قد تحتاج لتطوير مهارات المرونة والتعامل مع عدم اليقين"",""قد تميل للإفراط في التخطيط على حساب التنفيذ السريع""]";"[""مدير موارد بشرية"",""مدير مكتب تنفيذي"",""منظم مؤتمرات"",""مدير مدرسة"",""مشرف خدمة عملاء""]";"[""إدارة الموارد البشرية"",""إدارة الفعاليات"",""السياحة والفندقة"",""الإدارة التربوية"",""العلاقات العامة""]";2025-12-09 22:33:00.882734+00;;[];[];[];[]
